name,polygon_wkt
"Delhi IGI Airport Zone","POLYGON((77.0600 28.5200, 77.1200 28.5200, 77.1200 28.5800, 77.0600 28.5800, 77.0600 28.5200))"
"Mumbai CSIA Zone","POLYGON((72.8500 19.0800, 72.9000 19.0800, 72.9000 19.1100, 72.8500 19.1100, 72.8500 19.0800))"
"Bengaluru KEA Zone","POLYGON((77.6800 13.1900, 77.7200 13.1900, 77.7200 13.2200, 77.6800 13.2200, 77.6800 13.1900))"
"Chennai MAA Zone","POLYGON((80.1500 12.9800, 80.2000 12.9800, 80.2000 13.0200, 80.1500 13.0200, 80.1500 12.9800))"
"Kolkata CCU Zone","POLYGON((88.4200 22.6400, 88.4700 22.6400, 88.4700 22.6800, 88.4200 22.6800, 88.4200 22.6400))"
"Hyderabad RGI Zone","POLYGON((78.4200 17.2300, 78.4700 17.2300, 78.4700 17.2700, 78.4200 17.2700, 78.4200 17.2300))"
"Ranchi Birsa Airport Zone","POLYGON((85.3150 23.3200, 85.3350 23.3200, 85.3350 23.3350, 85.3150 23.3350, 85.3150 23.3200))"
"Jaisalmer Military Zone","POLYGON((70.8000 26.8000, 71.0000 26.8000, 71.0000 27.0000, 70.8000 27.0000, 70.8000 26.8000))"
"Leh Military Zone","POLYGON((77.5000 34.1000, 77.6000 34.1000, 77.6000 34.2000, 77.5000 34.2000, 77.5000 34.1000))"
"Pokhran Test Range","POLYGON((71.8000 27.0000, 72.0000 27.0000, 72.0000 27.2000, 71.8000 27.2000, 71.8000 27.0000))"
"Parliament House Zone","POLYGON((77.2000 28.6100, 77.2100 28.6100, 77.2100 28.6200, 77.2000 28.6200, 77.2000 28.6100))"
"Rashtrapati Bhavan Zone","POLYGON((77.1950 28.6100, 77.2050 28.6100, 77.2050 28.6200, 77.1950 28.6200, 77.1950 28.6100))"
"Mantralaya Mumbai Zone","POLYGON((72.9200 18.9250, 72.9300 18.9250, 72.9300 18.9350, 72.9200 18.9350, 72.9200 18.9250))"
"Vidhana Soudha Zone","POLYGON((77.5850 12.9750, 77.5950 12.9750, 77.5950 12.9850, 77.5850 12.9850, 77.5850 12.9750))"
"Wagah Border Zone","POLYGON((74.5500 31.6000, 74.6000 31.6000, 74.6000 31.6500, 74.5500 31.6500, 74.5500 31.6000))"
"Attari Border Zone","POLYGON((74.5000 31.3500, 74.5500 31.3500, 74.5500 31.4000, 74.5000 31.4000, 74.5000 31.3500))"
"BARC Mumbai Zone","POLYGON((72.9100 19.0000, 72.9300 19.0000, 72.9300 19.0200, 72.9100 19.0200, 72.9100 19.0000))"
"Kudankulam Nuclear Zone","POLYGON((77.6800 8.1600, 77.7200 8.1600, 77.7200 8.2000, 77.6800 8.2000, 77.6800 8.1600))"
"Tarapur Nuclear Zone","POLYGON((72.6500 19.8000, 72.7000 19.8000, 72.7000 19.8500, 72.6500 19.8500, 72.6500 19.8000))"
"DRDO Hyderabad Zone","POLYGON((78.3800 17.4500, 78.4200 17.4500, 78.4200 17.4900, 78.3800 17.4900, 78.3800 17.4500))"
